"","species","week","density"
"Allen's Hummingbird1","Allen's Hummingbird",1,0.00732991605379753
"Allen's Hummingbird2","Allen's Hummingbird",2,0.0092373264505999
"Allen's Hummingbird3","Allen's Hummingbird",3,0.011427369338142
"Allen's Hummingbird4","Allen's Hummingbird",4,0.0138980105813795
"Allen's Hummingbird5","Allen's Hummingbird",5,0.0166257547764805
"Allen's Hummingbird6","Allen's Hummingbird",6,0.0195724571266124
"Allen's Hummingbird7","Allen's Hummingbird",7,0.022685481863397
"Allen's Hummingbird8","Allen's Hummingbird",8,0.0258986770876236
"Allen's Hummingbird9","Allen's Hummingbird",9,0.0291342000768408
"Allen's Hummingbird10","Allen's Hummingbird",10,0.0323052071959415
"Allen's Hummingbird11","Allen's Hummingbird",11,0.0353193826723119
"Allen's Hummingbird12","Allen's Hummingbird",12,0.0380832119444516
"Allen's Hummingbird13","Allen's Hummingbird",13,0.0405068046867481
"Allen's Hummingbird14","Allen's Hummingbird",14,0.0425089534528628
"Allen's Hummingbird15","Allen's Hummingbird",15,0.0440220083275342
"Allen's Hummingbird16","Allen's Hummingbird",16,0.0449960944837123
"Allen's Hummingbird17","Allen's Hummingbird",17,0.0454022194661675
"Allen's Hummingbird18","Allen's Hummingbird",18,0.0452339013444043
"Allen's Hummingbird19","Allen's Hummingbird",19,0.0445070877462966
"Allen's Hummingbird20","Allen's Hummingbird",20,0.043258358681075
"Allen's Hummingbird21","Allen's Hummingbird",21,0.0415417150714973
"Allen's Hummingbird22","Allen's Hummingbird",22,0.0394245130027837
"Allen's Hummingbird23","Allen's Hummingbird",23,0.0369831449609046
"Allen's Hummingbird24","Allen's Hummingbird",24,0.0342989095304346
"Allen's Hummingbird25","Allen's Hummingbird",25,0.0314542963077834
"Allen's Hummingbird26","Allen's Hummingbird",26,0.0285297433737472
"Allen's Hummingbird27","Allen's Hummingbird",27,0.0256008261251624
"Allen's Hummingbird28","Allen's Hummingbird",28,0.0227358102440878
