Country,1896,1900,1904,1906,1908,1912,1920,1924,1928,1932,1936,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016
United States,20,48,231,24,47,64,95,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,13,101,13,93,34,101,25,110,37,103,28,121
Mixed team,2,20,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,2,5,4,3,0,0,3,6,4,5,1,13,11,35,22,18,17,17,5,9,24,14,27,1,41,1,58,2,50,2,46,3,35,3,29
Switzerland,3,9,3,8,0,1,11,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,9,7,7,9,11,5,14,7,9,4,11,7
Austria,5,6,3,9,1,4,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,9,3,17,3,17,7,23,3,16,0,17,1
Denmark,6,6,0,6,5,12,13,11,9,8,5,22,6,3,6,6,8,1,3,5,6,4,6,0,6,1,6,0,8,0,7,0,9,0,15
Hungary,6,5,4,10,9,8,0,10,10,0,0,0,0,0,21,22,32,35,22,0,0,23,30,0,21,0,17,0,17,0,10,0,18,0,15
Great Britain,7,32,2,24,146,41,43,0,0,17,0,0,0,21,20,0,13,18,0,0,0,24,20,2,15,1,28,2,30,1,47,1,65,4,67
France,11,101,1,40,19,15,42,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,5,37,8,38,11,33,9,41,11,35,15,42
Germany,13,9,15,15,13,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,65,29,56,36,49,29,41,30,44,19,42
Greece,47,0,2,34,4,2,1,1,0,0,0,0,0,1,1,0,1,2,0,3,2,1,2,0,8,0,13,0,16,0,4,0,2,0,6
Belgium,0,17,0,6,8,6,42,0,0,1,3,0,4,2,4,3,2,2,6,1,4,2,3,0,6,1,5,0,3,0,2,0,3,0,6
Italy,0,5,0,16,4,8,25,16,20,36,27,0,0,0,0,0,0,0,0,0,0,0,0,20,35,10,34,13,32,11,27,5,28,8,28
Canada,0,2,6,2,16,8,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,13,22,15,14,17,12,24,19,26,18,25,22
Netherlands,0,5,0,3,2,3,11,11,23,8,17,16,0,0,0,0,0,0,0,0,13,0,0,4,19,11,25,8,22,9,16,8,20,24,19
Norway,0,5,2,2,8,10,32,0,0,10,0,0,0,0,0,15,0,0,0,10,0,0,0,26,7,25,10,25,6,19,9,23,4,26,4
Cuba,0,2,3,0,0,0,0,0,0,0,0,1,0,0,0,1,4,8,13,20,0,0,31,0,25,0,29,0,27,0,24,0,14,0,11
India,0,2,0,0,0,0,0,0,1,1,1,1,2,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,3,0,6,0,2
Bohemia,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,0,1,0,0,0,0,2,0,1,1,0,1,1,0,1,0,0,0,2,6,5,4,0,0,17,0,11,0,20,0,18,0,17,0,17
Luxembourg,0,1,0,0,0,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,0,1,0,14,25,65,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,12,7,7,14,5,11,8,15,11
